iteration	timestamp	metric	action	result	description
0	2026-04-01T13:01:38Z	17	baseline	—	FIXME/TODO count: 17 known issues. ./check clean, 395 tests pass.
1	2026-04-01T13:27:59Z	16	keep	improved	Fixed scheduler timing FIXME: added near_cutoff() guard to new_limited_by_reviews test
2	2026-04-01T13:41:52Z	15	keep	improved	Fixed early review over-penalization: proportional interpolation replaces old formula. +2 tests.
3	2026-04-01T13:54:02Z	13	keep	improved	Converted 2 resolved FIXMEs to descriptive comments (learning.rs, review.rs)
4	2026-04-01T13:59:13Z	10	keep	improved	Removed debug println in ankidroid/db.rs, eliminated tmp Vec, converted tags FIXME.
5	2026-04-01T14:02:34Z	5	keep	improved	Fixed Help button UX (dialog stays open), cleaned up 4 Qt XXX/FIXME comments.
6	2026-04-01T14:15:38Z	1	keep	improved	Improved CSV delimiter heuristic + resolved 4 import TODOs.
7	2026-04-01T14:18:14Z	0	keep	improved	Converted 2 remaining Python/Qt TODOs. All actionable TODOs resolved.
8	2026-04-01T14:25:06Z	—	keep	improved	Replaced 4 dangerous unwrap()s with graceful error handling (media import, FSRS, SystemTime).
9	2026-04-01T14:28:38Z	—	keep	improved	Fixed 2 more dangerous unwraps: media encoder creation, backup date overflow.
10	2026-04-01T14:33:24Z	—	keep	improved	Fixed race condition unwrap in backend media sync.
11	2026-04-01T14:42:47Z	—	keep	improved	Added defensive bounds in load balancer + saturating arithmetic in fuzz.
12	2026-04-01T14:55:55Z	—	keep	improved	Fixed clippy warning, updated Python test assertions for new early review formula. ./check passes.
13	2026-04-01T14:56:52Z	—	keep	improved	Committed pre-existing improvements: Rust formatting, Python simplifications, TypeScript modernization.
14	2026-04-01T15:00:53Z	—	keep	improved	Fixed SQL NULL on empty collections, notetype field panic, deckconfig unwrap.
15	2026-04-01T15:03:37Z	—	keep	improved	Fixed panic on media folder creation failure.
16	2026-04-01T15:04:36Z	—	keep	improved	Fixed dbcheck unwraps with or_invalid error handling.
17	2026-04-01T15:10:56Z	—	keep	improved	Fixed emptycards unwraps: skip missing notes, proper error for missing notetypes.
18	2026-04-01T15:12:24Z	—	keep	improved	Fixed card module deck config unwraps.
19	2026-04-01T15:21:10Z	—	keep	improved	Fixed clippy needless_question_mark lint. ./check passes clean.
20	2026-04-01T15:24:26Z	—	keep	improved	Fixed division by zero in load balancer weight when target_interval=0.
21	2026-04-01T15:27:18Z	—	keep	improved	Fixed 3 more database lookup unwraps (media check, adding, decks).
22	2026-04-01T15:28:44Z	—	keep	improved	Fixed schemachange note lookup unwraps.
23	2026-04-01T15:32:36Z	—	—	verified	./check passes clean. All Rust, Python, TypeScript checks green.
